test,type,interactions,elapsed_time,find_type
test_base,memalloc,1,0.010000,first_fit
test_base,memalloc,1,0.007000,worst_fit
test_base,memalloc,1,0.007000,null
test_base,std,1,0.000000,std
test_base,memalloc,11,0.011000,first_fit
test_base,memalloc,11,0.008000,worst_fit
test_base,memalloc,11,0.009000,null
test_base,std,11,0.000000,std
test_base,memalloc,21,0.007000,first_fit
test_base,memalloc,21,0.009000,worst_fit
test_base,memalloc,21,0.008000,null
test_base,std,21,0.000000,std
test_base,memalloc,31,0.010000,first_fit
test_base,memalloc,31,0.008000,worst_fit
test_base,memalloc,31,0.008000,null
test_base,std,31,0.000000,std
test_base,memalloc,41,0.008000,first_fit
test_base,memalloc,41,0.009000,worst_fit
test_base,memalloc,41,0.008000,null
test_base,std,41,0.000000,std
test_base,memalloc,51,0.010000,first_fit
test_base,memalloc,51,0.008000,worst_fit
test_base,memalloc,51,0.008000,null
test_base,std,51,0.000000,std
test_base,memalloc,61,0.007000,first_fit
test_base,memalloc,61,0.008000,worst_fit
test_base,memalloc,61,0.008000,null
test_base,std,61,0.000000,std
test_base,memalloc,71,0.008000,first_fit
test_base,memalloc,71,0.009000,worst_fit
test_base,memalloc,71,0.008000,null
test_base,std,71,0.000000,std
test_base,memalloc,81,0.008000,first_fit
test_base,memalloc,81,0.008000,worst_fit
test_base,memalloc,81,0.007000,null
test_base,std,81,0.001000,std
test_base,memalloc,91,0.008000,first_fit
test_base,memalloc,91,0.008000,worst_fit
test_base,memalloc,91,0.010000,null
test_base,std,91,0.000000,std
test_base,memalloc,101,0.008000,first_fit
test_base,memalloc,101,0.009000,worst_fit
test_base,memalloc,101,0.008000,null
test_base,std,101,0.000000,std
test_base,memalloc,111,0.008000,first_fit
test_base,memalloc,111,0.008000,worst_fit
test_base,memalloc,111,0.008000,null
test_base,std,111,0.000000,std
test_base,memalloc,121,0.008000,first_fit
test_base,memalloc,121,0.008000,worst_fit
test_base,memalloc,121,0.008000,null
test_base,std,121,0.001000,std
test_base,memalloc,131,0.007000,first_fit
test_base,memalloc,131,0.007000,worst_fit
test_base,memalloc,131,0.013000,null
test_base,std,131,0.000000,std
test_base,memalloc,141,0.013000,first_fit
test_base,memalloc,141,0.011000,worst_fit
test_base,memalloc,141,0.008000,null
test_base,std,141,0.000000,std
test_base,memalloc,151,0.008000,first_fit
test_base,memalloc,151,0.008000,worst_fit
test_base,memalloc,151,0.009000,null
test_base,std,151,0.001000,std
test_base,memalloc,161,0.007000,first_fit
test_base,memalloc,161,0.011000,worst_fit
test_base,memalloc,161,0.007000,null
test_base,std,161,0.000000,std
test_base,memalloc,171,0.008000,first_fit
test_base,memalloc,171,0.009000,worst_fit
test_base,memalloc,171,0.008000,null
test_base,std,171,0.000000,std
test_base,memalloc,181,0.008000,first_fit
