test,type,interactions,elapsed_time,find_type
test_base,memalloc,1,0.036000,first_fit
test_base,memalloc,1,0.024000,worst_fit
test_base,memalloc,1,0.021000,null
test_base,std,1,0.001000,std
test_base,memalloc,11,0.159000,first_fit
test_base,memalloc,11,0.145000,worst_fit
test_base,memalloc,11,0.155000,null
test_base,std,11,0.002000,std
test_base,memalloc,21,0.273000,first_fit
test_base,memalloc,21,0.269000,worst_fit
test_base,memalloc,21,0.268000,null
test_base,std,21,0.007000,std
test_base,memalloc,31,0.463000,first_fit
test_base,memalloc,31,0.436000,worst_fit
test_base,memalloc,31,0.375000,null
test_base,std,31,0.012000,std
test_base,memalloc,41,0.508000,first_fit
test_base,memalloc,41,0.532000,worst_fit
test_base,memalloc,41,0.541000,null
test_base,std,41,0.021000,std
test_base,memalloc,51,0.650000,first_fit
test_base,memalloc,51,0.643000,worst_fit
test_base,memalloc,51,0.639000,null
test_base,std,51,0.029000,std
test_base,memalloc,61,0.736000,first_fit
test_base,memalloc,61,0.760000,worst_fit
test_base,memalloc,61,0.758000,null
test_base,std,61,0.033000,std
test_base,memalloc,71,0.873000,first_fit
test_base,memalloc,71,0.882000,worst_fit
test_base,memalloc,71,1.250000,null
test_base,std,71,0.033000,std
test_base,memalloc,81,1.040000,first_fit
test_base,memalloc,81,1.054000,worst_fit
test_base,memalloc,81,1.002000,null
test_base,std,81,0.032000,std
test_base,memalloc,91,1.136000,first_fit
test_base,memalloc,91,1.130000,worst_fit
test_base,memalloc,91,1.138000,null
test_base,std,91,0.033000,std
test_base,memalloc,101,1.436000,first_fit
test_base,memalloc,101,1.258000,worst_fit
test_base,memalloc,101,1.303000,null
test_base,std,101,0.035000,std
test_base,memalloc,111,1.364000,first_fit
test_base,memalloc,111,1.454000,worst_fit
test_base,memalloc,111,1.468000,null
test_base,std,111,0.036000,std
test_base,memalloc,121,1.529000,first_fit
test_base,memalloc,121,2.034000,worst_fit
test_base,memalloc,121,1.593000,null
test_base,std,121,0.035000,std
test_base,memalloc,131,1.743000,first_fit
test_base,memalloc,131,1.675000,worst_fit
test_base,memalloc,131,1.786000,null
test_base,std,131,0.035000,std
test_base,memalloc,141,1.797000,first_fit
test_base,memalloc,141,1.796000,worst_fit
test_base,memalloc,141,1.844000,null
test_base,std,141,0.035000,std
test_base,memalloc,151,2.086000,first_fit
test_base,memalloc,151,1.886000,worst_fit
test_base,memalloc,151,1.926000,null
test_base,std,151,0.036000,std
test_base,memalloc,161,2.031000,first_fit
test_base,memalloc,161,2.010000,worst_fit
test_base,memalloc,161,2.119000,null
test_base,std,161,0.037000,std
test_base,memalloc,171,2.336000,first_fit
test_base,memalloc,171,2.133000,worst_fit
test_base,memalloc,171,2.150000,null
test_base,std,171,0.036000,std
test_base,memalloc,181,2.250000,first_fit
test_base,memalloc,181,2.256000,worst_fit
test_base,memalloc,181,2.252000,null
test_base,std,181,0.035000,std
test_base,memalloc,191,2.545000,first_fit
test_base,memalloc,191,2.372000,worst_fit
test_base,memalloc,191,2.380000,null
test_base,std,191,0.035000,std
test_base,memalloc,201,2.535000,first_fit
test_base,memalloc,201,2.505000,worst_fit
test_base,memalloc,201,2.467000,null
test_base,std,201,0.035000,std
test_base,memalloc,211,2.684937,first_fit
test_base,memalloc,211,2.656000,worst_fit
test_base,memalloc,211,2.644000,null
test_base,std,211,0.037000,std
test_base,memalloc,221,2.774000,first_fit
test_base,memalloc,221,2.780000,worst_fit
test_base,memalloc,221,2.817000,null
test_base,std,221,0.035000,std
test_base,memalloc,231,2.907000,first_fit
test_base,memalloc,231,2.905000,worst_fit
test_base,memalloc,231,2.881000,null
test_base,std,231,0.040000,std
test_base,memalloc,241,3.149000,first_fit
test_base,memalloc,241,3.056000,worst_fit
test_base,memalloc,241,3.008000,null
test_base,std,241,0.038000,std
test_base,memalloc,251,3.220000,first_fit
test_base,memalloc,251,3.204000,worst_fit
test_base,memalloc,251,3.169000,null
test_base,std,251,0.043000,std
test_base,memalloc,261,3.236000,first_fit
test_base,memalloc,261,3.364000,worst_fit
test_base,memalloc,261,6.137000,null
test_base,std,261,0.042000,std
test_base,memalloc,271,6.787000,first_fit
test_base,memalloc,271,5.009000,worst_fit
test_base,memalloc,271,3.583000,null
test_base,std,271,0.043000,std
test_base,memalloc,281,3.805000,first_fit
test_base,memalloc,281,3.469000,worst_fit
test_base,memalloc,281,5.121000,null
test_base,std,281,0.042000,std
test_base,memalloc,291,6.954000,first_fit
test_base,memalloc,291,5.309000,worst_fit
test_base,memalloc,291,5.352000,null
test_base,std,291,0.148000,std
test_base,memalloc,301,5.486000,first_fit
test_base,memalloc,301,5.298000,worst_fit
test_base,memalloc,301,8.232000,null
test_base,std,301,0.042000,std
test_base,memalloc,311,3.911000,first_fit
test_base,memalloc,311,5.185000,worst_fit
test_base,memalloc,311,3.992000,null
test_base,std,311,0.045000,std
test_base,memalloc,321,4.650000,first_fit
test_base,memalloc,321,4.206000,worst_fit
test_base,memalloc,321,4.201000,null
test_base,std,321,0.043000,std
test_base,memalloc,331,6.867000,first_fit
test_base,memalloc,331,6.014000,worst_fit
test_base,memalloc,331,5.420000,null
test_base,std,331,0.046000,std
test_base,memalloc,341,5.046000,first_fit
test_base,memalloc,341,5.875000,worst_fit
test_base,memalloc,341,4.481000,null
test_base,std,341,0.045000,std
test_base,memalloc,351,13.631001,first_fit
test_base,memalloc,351,5.626000,worst_fit
test_base,memalloc,351,10.174001,null
test_base,std,351,0.046000,std
test_base,memalloc,361,5.893000,first_fit
test_base,memalloc,361,8.861000,worst_fit
test_base,memalloc,361,5.644000,null
test_base,std,361,0.054000,std
test_base,memalloc,371,7.046000,first_fit
test_base,memalloc,371,4.795000,worst_fit
test_base,memalloc,371,6.623000,null
test_base,std,371,0.044000,std
test_base,memalloc,381,6.484000,first_fit
test_base,memalloc,381,4.734000,worst_fit
test_base,memalloc,381,5.712000,null
test_base,std,381,0.045000,std
test_base,memalloc,391,5.242000,first_fit
test_base,memalloc,391,5.424000,worst_fit
test_base,memalloc,391,4.870000,null
test_base,std,391,0.043000,std
test_base,memalloc,401,5.454000,first_fit
test_base,memalloc,401,5.117000,worst_fit
test_base,memalloc,401,4.971000,null
test_base,std,401,0.044000,std
test_base,memalloc,411,6.976000,first_fit
test_base,memalloc,411,7.744000,worst_fit
test_base,memalloc,411,6.674000,null
test_base,std,411,0.048000,std
test_base,memalloc,421,9.149000,first_fit
test_base,memalloc,421,9.941001,worst_fit
test_base,memalloc,421,7.676001,null
test_base,std,421,0.111000,std
test_base,memalloc,431,12.960001,first_fit
test_base,memalloc,431,5.946960,worst_fit
test_base,memalloc,431,5.485000,null
test_base,std,431,0.047000,std
test_base,memalloc,441,5.867000,first_fit
test_base,memalloc,441,5.524000,worst_fit
test_base,memalloc,441,5.932000,null
test_base,std,441,0.050000,std
test_base,memalloc,451,6.459000,first_fit
test_base,memalloc,451,10.249001,worst_fit
test_base,memalloc,451,6.255000,null
test_base,std,451,0.050000,std
test_base,memalloc,461,6.521000,first_fit
test_base,memalloc,461,5.785000,worst_fit
test_base,memalloc,461,5.765000,null
test_base,std,461,0.051000,std
test_base,memalloc,471,5.881000,first_fit
test_base,memalloc,471,5.907000,worst_fit
test_base,memalloc,471,6.274000,null
test_base,std,471,0.050000,std
test_base,memalloc,481,11.344001,first_fit
test_base,memalloc,481,7.340000,worst_fit
test_base,memalloc,481,5.938000,null
test_base,std,481,0.051000,std
test_base,memalloc,491,6.357000,first_fit
test_base,memalloc,491,6.448000,worst_fit
test_base,memalloc,491,12.903001,null
test_base,std,491,0.050000,std
test_base,memalloc,501,14.659000,first_fit
test_base,memalloc,501,13.278001,worst_fit
test_base,memalloc,501,17.155001,null
test_base,std,501,0.053000,std
test_base,memalloc,511,7.905000,first_fit
test_base,memalloc,511,7.519001,worst_fit
test_base,memalloc,511,7.857000,null
test_base,std,511,0.051000,std
test_base,memalloc,521,8.960000,first_fit
test_base,memalloc,521,9.961000,worst_fit
test_base,memalloc,521,7.747000,null
test_base,std,521,0.054000,std
test_base,memalloc,531,7.420001,first_fit
test_base,memalloc,531,7.568000,worst_fit
test_base,memalloc,531,8.255000,null
test_base,std,531,0.054000,std
test_base,memalloc,541,10.676001,first_fit
test_base,memalloc,541,6.951000,worst_fit
test_base,memalloc,541,7.439000,null
test_base,std,541,0.052000,std
test_base,memalloc,551,6.807000,first_fit
test_base,memalloc,551,8.536000,worst_fit
test_base,memalloc,551,8.757000,null
test_base,std,551,0.053000,std
test_base,memalloc,561,7.146000,first_fit
test_base,memalloc,561,7.282001,worst_fit
test_base,memalloc,561,6.938000,null
test_base,std,561,0.054000,std
test_base,memalloc,571,7.114000,first_fit
test_base,memalloc,571,7.397000,worst_fit
test_base,memalloc,571,9.717957,null
test_base,std,571,0.055000,std
test_base,memalloc,581,7.610000,first_fit
test_base,memalloc,581,7.177001,worst_fit
test_base,memalloc,581,10.712001,null
test_base,std,581,0.055000,std
test_base,memalloc,591,13.334001,first_fit
test_base,memalloc,591,9.071000,worst_fit
test_base,memalloc,591,8.098001,null
test_base,std,591,0.054000,std
test_base,memalloc,601,7.742001,first_fit
test_base,memalloc,601,7.551001,worst_fit
test_base,memalloc,601,7.583000,null
test_base,std,601,0.055000,std
test_base,memalloc,611,8.041000,first_fit
test_base,memalloc,611,8.734000,worst_fit
test_base,memalloc,611,8.820001,null
test_base,std,611,0.055000,std
test_base,memalloc,621,9.150001,first_fit
test_base,memalloc,621,8.359000,worst_fit
test_base,memalloc,621,7.822001,null
test_base,std,621,0.055000,std
test_base,memalloc,631,8.439000,first_fit
test_base,memalloc,631,8.470000,worst_fit
test_base,memalloc,631,9.388000,null
test_base,std,631,0.056000,std
test_base,memalloc,641,8.045000,first_fit
test_base,memalloc,641,7.934000,worst_fit
test_base,memalloc,641,8.210000,null
test_base,std,641,0.055000,std
test_base,memalloc,651,8.450001,first_fit
test_base,memalloc,651,8.531000,worst_fit
test_base,memalloc,651,11.700001,null
test_base,std,651,0.057000,std
test_base,memalloc,661,8.470000,first_fit
test_base,memalloc,661,12.421000,worst_fit
test_base,memalloc,661,9.158000,null
test_base,std,661,0.062000,std
test_base,memalloc,671,8.561001,first_fit
test_base,memalloc,671,9.332001,worst_fit
test_base,memalloc,671,9.531000,null
test_base,std,671,0.064000,std
test_base,memalloc,681,11.518001,first_fit
test_base,memalloc,681,11.212001,worst_fit
test_base,memalloc,681,9.809000,null
test_base,std,681,0.060000,std
test_base,memalloc,691,8.585000,first_fit
test_base,memalloc,691,8.531000,worst_fit
test_base,memalloc,691,9.147000,null
test_base,std,691,0.063000,std
test_base,memalloc,701,9.713000,first_fit
test_base,memalloc,701,11.024000,worst_fit
test_base,memalloc,701,11.116000,null
test_base,std,701,0.064000,std
test_base,memalloc,711,10.844001,first_fit
test_base,memalloc,711,9.098001,worst_fit
test_base,memalloc,711,8.991000,null
test_base,std,711,0.062000,std
test_base,memalloc,721,8.917001,first_fit
test_base,memalloc,721,9.439000,worst_fit
test_base,memalloc,721,9.358001,null
test_base,std,721,0.060000,std
test_base,memalloc,731,12.845000,first_fit
test_base,memalloc,731,9.892000,worst_fit
test_base,memalloc,731,10.144000,null
test_base,std,731,0.063000,std
test_base,memalloc,741,9.214001,first_fit
test_base,memalloc,741,9.274000,worst_fit
test_base,memalloc,741,9.367001,null
test_base,std,741,0.063000,std
test_base,memalloc,751,11.003000,first_fit
test_base,memalloc,751,11.147000,worst_fit
test_base,memalloc,751,9.596001,null
test_base,std,751,0.063000,std
test_base,memalloc,761,9.375000,first_fit
test_base,memalloc,761,9.524000,worst_fit
test_base,memalloc,761,9.442000,null
test_base,std,761,0.063000,std
test_base,memalloc,771,9.891001,first_fit
test_base,memalloc,771,10.684001,worst_fit
test_base,memalloc,771,10.599001,null
test_base,std,771,0.065000,std
test_base,memalloc,781,10.590000,first_fit
test_base,memalloc,781,10.078000,worst_fit
test_base,memalloc,781,10.268001,null
test_base,std,781,0.062000,std
test_base,memalloc,791,9.888000,first_fit
test_base,memalloc,791,10.324000,worst_fit
test_base,memalloc,791,10.545000,null
test_base,std,791,0.065000,std
test_base,memalloc,801,11.281000,first_fit
test_base,memalloc,801,10.250001,worst_fit
test_base,memalloc,801,9.952001,null
test_base,std,801,0.065000,std
test_base,memalloc,811,11.678000,first_fit
test_base,memalloc,811,10.667001,worst_fit
test_base,memalloc,811,12.877001,null
test_base,std,811,0.063000,std
test_base,memalloc,821,11.612000,first_fit
test_base,memalloc,821,13.008000,worst_fit
test_base,memalloc,821,12.410001,null
test_base,std,821,0.064000,std
test_base,memalloc,831,12.123000,first_fit
test_base,memalloc,831,11.289978,worst_fit
test_base,memalloc,831,11.390000,null
test_base,std,831,0.069000,std
test_base,memalloc,841,20.352001,first_fit
test_base,memalloc,841,11.065001,worst_fit
test_base,memalloc,841,10.777000,null
test_base,std,841,0.064000,std
test_base,memalloc,851,10.636001,first_fit
test_base,memalloc,851,11.665001,worst_fit
test_base,memalloc,851,12.153001,null
test_base,std,851,0.068000,std
test_base,memalloc,861,14.887001,first_fit
test_base,memalloc,861,12.338000,worst_fit
test_base,memalloc,861,11.726001,null
test_base,std,861,0.073000,std
test_base,memalloc,871,11.844001,first_fit
test_base,memalloc,871,12.719001,worst_fit
test_base,memalloc,871,13.630001,null
test_base,std,871,0.085000,std
test_base,memalloc,881,11.551001,first_fit
test_base,memalloc,881,11.408001,worst_fit
test_base,memalloc,881,10.975000,null
test_base,std,881,0.069000,std
test_base,memalloc,891,11.089001,first_fit
test_base,memalloc,891,10.840000,worst_fit
test_base,memalloc,891,11.658001,null
test_base,std,891,0.067000,std
test_base,memalloc,901,14.111001,first_fit
test_base,memalloc,901,11.800000,worst_fit
test_base,memalloc,901,11.292001,null
test_base,std,901,0.069000,std
test_base,memalloc,911,11.753000,first_fit
test_base,memalloc,911,11.275001,worst_fit
test_base,memalloc,911,14.330001,null
test_base,std,911,0.071000,std
test_base,memalloc,921,12.837001,first_fit
test_base,memalloc,921,14.277000,worst_fit
