test,type,interactions,elapsed_time,find_type
test_base,memalloc,1,0.0290000010,first_fit
test_base,memalloc,1,0.0100000007,worst_fit
test_base,memalloc,1,0.0130000003,null
test_base,std,1,0.0010000000,std
test_base,memalloc,11,0.0780000016,first_fit
test_base,memalloc,11,0.0510000028,worst_fit
test_base,memalloc,11,0.0700000003,null
test_base,std,11,0.0010000000,std
test_base,memalloc,21,0.1430000067,first_fit
test_base,memalloc,21,0.1090000048,worst_fit
test_base,memalloc,21,0.0870000049,null
test_base,std,21,0.0040000002,std
test_base,memalloc,31,0.1510000080,first_fit
test_base,memalloc,31,0.4980000257,worst_fit
test_base,memalloc,31,0.1430000067,null
test_base,std,31,0.0070000002,std
test_base,memalloc,41,0.2050000131,first_fit
test_base,memalloc,41,0.2040000111,worst_fit
test_base,memalloc,41,0.1980000138,null
test_base,std,41,0.0120000001,std
test_base,memalloc,51,0.2360000163,first_fit
test_base,memalloc,51,0.2680000067,worst_fit
test_base,memalloc,51,0.2520000041,null
test_base,std,51,0.0240000002,std
test_base,memalloc,61,0.3770000041,first_fit
test_base,memalloc,61,0.3080000281,worst_fit
test_base,memalloc,61,0.2840000093,null
test_base,std,61,0.0230000019,std
test_base,memalloc,71,0.5520000458,first_fit
test_base,memalloc,71,0.3100000024,worst_fit
test_base,memalloc,71,0.3460000157,null
test_base,std,71,0.0230000019,std
test_base,memalloc,81,0.3880000114,first_fit
test_base,memalloc,81,0.4010000229,worst_fit
test_base,memalloc,81,0.4460000098,null
test_base,std,81,0.0420000032,std
test_base,memalloc,91,0.4120000303,first_fit
test_base,memalloc,91,0.5120000243,worst_fit
test_base,memalloc,91,0.5720000267,null
test_base,std,91,0.0450000018,std
test_base,memalloc,101,0.6500000358,first_fit
test_base,memalloc,101,0.5000000000,worst_fit
test_base,memalloc,101,0.4980000257,null
test_base,std,101,0.0250000004,std
test_base,memalloc,111,0.4990000129,first_fit
test_base,memalloc,111,0.5110000372,worst_fit
test_base,memalloc,111,0.6330000162,null
test_base,std,111,0.0300000012,std
test_base,memalloc,121,0.5240000486,first_fit
test_base,memalloc,121,0.5710000396,worst_fit
test_base,memalloc,121,0.5500000119,null
test_base,std,121,0.0430000015,std
test_base,memalloc,131,0.6040000319,first_fit
test_base,memalloc,131,0.6650000215,worst_fit
test_base,memalloc,131,0.6280000210,null
test_base,std,131,0.0290000010,std
test_base,memalloc,141,0.6460000277,first_fit
test_base,memalloc,141,0.6530000567,worst_fit
test_base,memalloc,141,0.7050000429,null
test_base,std,141,0.0310000014,std
test_base,memalloc,151,0.7310000062,first_fit
test_base,memalloc,151,0.6580000520,worst_fit
test_base,memalloc,151,0.6620000601,null
test_base,std,151,0.0329999998,std
test_base,memalloc,161,0.6080000401,first_fit
test_base,memalloc,161,0.8390000463,worst_fit
test_base,memalloc,161,0.6680000424,null
test_base,std,161,0.0690000057,std
test_base,memalloc,171,0.7500000596,first_fit
test_base,memalloc,171,1.3940000534,worst_fit
test_base,memalloc,171,1.1490000486,null
test_base,std,171,0.0380000025,std
test_base,memalloc,181,0.8270000219,first_fit
test_base,memalloc,181,0.8700000644,worst_fit
test_base,memalloc,181,0.8130000234,null
test_base,std,181,0.0370000005,std
test_base,memalloc,191,0.8540000319,first_fit
test_base,memalloc,191,0.9580000639,worst_fit
test_base,memalloc,191,0.8310000300,null
test_base,std,191,0.0300000012,std
test_base,memalloc,201,0.8740000129,first_fit
test_base,memalloc,201,0.9180000424,worst_fit
test_base,memalloc,201,1.3360000849,null
test_base,std,201,0.0420000032,std
test_base,memalloc,211,1.6520000696,first_fit
test_base,memalloc,211,0.9630000591,worst_fit
test_base,memalloc,211,0.9390000701,null
test_base,std,211,0.0450000018,std
test_base,memalloc,221,1.1240000725,first_fit
test_base,memalloc,221,1.0789999962,worst_fit
test_base,memalloc,221,1.6730000973,null
test_base,std,221,0.0490000024,std
test_base,memalloc,231,1.6080000401,first_fit
test_base,memalloc,231,1.2450000048,worst_fit
test_base,memalloc,231,1.2040001154,null
test_base,std,231,0.0380000025,std
test_base,memalloc,241,1.6350001097,first_fit
test_base,memalloc,241,1.5550000668,worst_fit
test_base,memalloc,241,1.0390000343,null
test_base,std,241,0.0860000029,std
test_base,memalloc,251,1.7000000477,first_fit
test_base,memalloc,251,1.4050000906,worst_fit
test_base,memalloc,251,1.3430000544,null
test_base,std,251,0.0420000032,std
test_base,memalloc,261,1.2480000257,first_fit
test_base,memalloc,261,1.8480000496,worst_fit
test_base,memalloc,261,1.6470000744,null
test_base,std,261,0.0370000005,std
test_base,memalloc,271,1.5300000906,first_fit
test_base,memalloc,271,1.7540000677,worst_fit
test_base,memalloc,271,1.3520001173,null
test_base,std,271,0.0560000017,std
test_base,memalloc,281,1.7090001106,first_fit
test_base,memalloc,281,1.1490000486,worst_fit
test_base,memalloc,281,1.2180000544,null
test_base,std,281,0.0590000041,std
test_base,memalloc,291,1.6410000324,first_fit
test_base,memalloc,291,1.4920001030,worst_fit
test_base,memalloc,291,2.3800001144,null
test_base,std,291,0.0360000022,std
test_base,memalloc,301,1.4930000305,first_fit
test_base,memalloc,301,1.3180000782,worst_fit
test_base,memalloc,301,1.1520000696,null
test_base,std,301,0.0620000027,std
test_base,memalloc,311,1.6970000267,first_fit
test_base,memalloc,311,2.0300002098,worst_fit
test_base,memalloc,311,1.5630000830,null
test_base,std,311,0.0340000018,std
test_base,memalloc,321,1.6090000868,first_fit
test_base,memalloc,321,1.4110000134,worst_fit
test_base,memalloc,321,1.3890000582,null
test_base,std,321,0.0430000015,std
test_base,memalloc,331,1.4090000391,first_fit
test_base,memalloc,331,2.5230000019,worst_fit
test_base,memalloc,331,1.4220000505,null
test_base,std,331,0.0340000018,std
test_base,memalloc,341,2.3300001621,first_fit
test_base,memalloc,341,1.4640001059,worst_fit
test_base,memalloc,341,1.9450000525,null
test_base,std,341,0.0460000038,std
test_base,memalloc,351,1.6860001087,first_fit
test_base,memalloc,351,2.0140001774,worst_fit
test_base,memalloc,351,1.3400000334,null
test_base,std,351,0.0329999998,std
test_base,memalloc,361,1.9690001011,first_fit
test_base,memalloc,361,2.4020001888,worst_fit
test_base,memalloc,361,1.7620000839,null
test_base,std,361,0.0420000032,std
test_base,memalloc,371,2.0220000744,first_fit
test_base,memalloc,371,2.3240001202,worst_fit
test_base,memalloc,371,1.9430000782,null
test_base,std,371,0.0610000044,std
test_base,memalloc,381,2.0450000763,first_fit
test_base,memalloc,381,2.2670001984,worst_fit
test_base,memalloc,381,1.8080000877,null
test_base,std,381,0.0340000018,std
test_base,memalloc,391,1.5090000629,first_fit
test_base,memalloc,391,1.8140001297,worst_fit
test_base,memalloc,391,1.7860001326,null
test_base,std,391,0.1170000061,std
test_base,memalloc,401,2.6280000210,first_fit
test_base,memalloc,401,1.7680001259,worst_fit
test_base,memalloc,401,1.8540000916,null
test_base,std,401,0.0360000022,std
test_base,memalloc,411,2.3330001831,first_fit
test_base,memalloc,411,1.8530000448,worst_fit
test_base,memalloc,411,2.8120000362,null
test_base,std,411,0.1680000126,std
test_base,memalloc,421,2.2610001564,first_fit
test_base,memalloc,421,1.9560000896,worst_fit
test_base,memalloc,421,2.5520000458,null
test_base,std,421,0.1810000092,std
test_base,memalloc,431,2.1270000935,first_fit
test_base,memalloc,431,1.7920000553,worst_fit
test_base,memalloc,431,1.9590001106,null
test_base,std,431,0.0980000049,std
test_base,memalloc,441,2.2130000591,first_fit
test_base,memalloc,441,3.2360000610,worst_fit
test_base,memalloc,441,1.9700001478,null
test_base,std,441,0.0470000021,std
test_base,memalloc,451,2.5060000420,first_fit
test_base,memalloc,451,2.7220001221,worst_fit
test_base,memalloc,451,1.7870000601,null
test_base,std,451,0.0490000024,std
test_base,memalloc,461,2.7580001354,first_fit
test_base,memalloc,461,2.8260002136,worst_fit
test_base,memalloc,461,1.9320000410,null
test_base,std,461,0.0329999998,std
test_base,memalloc,471,1.7850000858,first_fit
test_base,memalloc,471,3.0940001011,worst_fit
test_base,memalloc,471,5.4840002060,null
test_base,std,471,0.0510000028,std
test_base,memalloc,481,2.5850000381,first_fit
test_base,memalloc,481,2.9050002098,worst_fit
test_base,memalloc,481,2.3370001316,null
test_base,std,481,0.0490000024,std
test_base,memalloc,491,2.8040001392,first_fit
test_base,memalloc,491,2.3980000019,worst_fit
test_base,memalloc,491,2.4000000954,null
test_base,std,491,0.0400000028,std
test_base,memalloc,501,1.9640001059,first_fit
test_base,memalloc,501,2.7410001755,worst_fit
test_base,memalloc,501,4.1510000229,null
test_base,std,501,0.0560000017,std
test_base,memalloc,511,2.5200002193,first_fit
test_base,memalloc,511,3.0880000591,worst_fit
test_base,memalloc,511,2.3220000267,null
test_base,std,511,0.0590000041,std
test_base,memalloc,521,4.3610000610,first_fit
test_base,memalloc,521,2.6200001240,worst_fit
test_base,memalloc,521,3.4320001602,null
test_base,std,521,0.0490000024,std
test_base,memalloc,531,2.6130001545,first_fit
test_base,memalloc,531,3.4350001812,worst_fit
test_base,memalloc,531,3.7350001335,null
test_base,std,531,0.0610000044,std
test_base,memalloc,541,3.4200000763,first_fit
test_base,memalloc,541,2.8000001907,worst_fit
test_base,memalloc,541,3.4260001183,null
test_base,std,541,0.0410000011,std
test_base,memalloc,551,2.7210001945,first_fit
test_base,memalloc,551,2.8020000458,worst_fit
test_base,memalloc,551,4.8270001411,null
test_base,std,551,0.0440000035,std
test_base,memalloc,561,2.2930002213,first_fit
test_base,memalloc,561,2.6020002365,worst_fit
test_base,memalloc,561,2.2810001373,null
test_base,std,561,0.0840000063,std
test_base,memalloc,571,3.9340002537,first_fit
test_base,memalloc,571,2.9620001316,worst_fit
test_base,memalloc,571,2.8680000305,null
test_base,std,571,0.0490000024,std
test_base,memalloc,581,3.3300001621,first_fit
test_base,memalloc,581,3.0330002308,worst_fit
test_base,memalloc,581,4.1810002327,null
test_base,std,581,0.0400000028,std
test_base,memalloc,591,2.6510000229,first_fit
test_base,memalloc,591,3.4730000496,worst_fit
test_base,memalloc,591,4.8830003738,null
test_base,std,591,0.0540000014,std
test_base,memalloc,601,3.0450000763,first_fit
test_base,memalloc,601,4.2520003319,worst_fit
test_base,memalloc,601,3.8290002346,null
test_base,std,601,0.0620000027,std
test_base,memalloc,611,2.5670001507,first_fit
test_base,memalloc,611,3.1810002327,worst_fit
test_base,memalloc,611,3.6760001183,null
test_base,std,611,0.0630000010,std
test_base,memalloc,621,3.2410001755,first_fit
test_base,memalloc,621,3.0790002346,worst_fit
test_base,memalloc,621,4.0120000839,null
test_base,std,621,0.0630000010,std
test_base,memalloc,631,3.9120001793,first_fit
test_base,memalloc,631,3.6100001335,worst_fit
test_base,memalloc,631,2.7510001659,null
test_base,std,631,0.0950000063,std
test_base,memalloc,641,4.7820000648,first_fit
test_base,memalloc,641,3.0400002003,worst_fit
test_base,memalloc,641,3.2410001755,null
test_base,std,641,0.0490000024,std
test_base,memalloc,651,3.4950001240,first_fit
test_base,memalloc,651,3.9960002899,worst_fit
test_base,memalloc,651,3.0890002251,null
test_base,std,651,0.0480000004,std
test_base,memalloc,661,3.1890001297,first_fit
test_base,memalloc,661,2.7190001011,worst_fit
test_base,memalloc,661,3.8230001926,null
test_base,std,661,0.0790000036,std
test_base,memalloc,671,3.8240001202,first_fit
test_base,memalloc,671,2.8350000381,worst_fit
test_base,memalloc,671,3.0020000935,null
test_base,std,671,0.0570000038,std
test_base,memalloc,681,5.5320000648,first_fit
test_base,memalloc,681,4.4790000916,worst_fit
test_base,memalloc,681,3.9550001621,null
test_base,std,681,0.0570000038,std
test_base,memalloc,691,3.2350001335,first_fit
test_base,memalloc,691,3.4440002441,worst_fit
test_base,memalloc,691,3.8120002747,null
test_base,std,691,0.1170000061,std
test_base,memalloc,701,3.8540000916,first_fit
test_base,memalloc,701,3.5060002804,worst_fit
test_base,memalloc,701,3.6590001583,null
test_base,std,701,0.0530000031,std
test_base,memalloc,711,3.2520000935,first_fit
test_base,memalloc,711,5.9090003967,worst_fit
test_base,memalloc,711,4.9490003586,null
test_base,std,711,0.0950000063,std
test_base,memalloc,721,4.0859999657,first_fit
test_base,memalloc,721,3.6190001965,worst_fit
test_base,memalloc,721,5.4800004959,null
test_base,std,721,0.0770000070,std
test_base,memalloc,731,3.6650002003,first_fit
test_base,memalloc,731,3.5290002823,worst_fit
test_base,memalloc,731,4.4869999886,null
test_base,std,731,0.0520000011,std
test_base,memalloc,741,3.4710001945,first_fit
test_base,memalloc,741,6.2070002556,worst_fit
test_base,memalloc,741,3.8350002766,null
test_base,std,741,0.0600000024,std
test_base,memalloc,751,3.9390001297,first_fit
